title;description;category;tags;location;valuation;custodian;cf:Serial number,type:text;cf:Brand,type:option;cf:Purchase date,type:date;cf:Warranty expiry,type:date;cf:Last maintenance,type:date;cf:Operational status,type:option;cf:Is portable,type:boolean
Polycom RealPresence Group 500;Video conferencing system;A/V Equipment;video conference;Conference Room A;4000;IT Manager;PRCG500-014;Polycom;2022-01-05;2025-01-04;2023-03-15;Operational;no
Netgear Nighthawk X10 Router;High-performance WiFi router;Networking;router,wifi;Guest Area;350;Tech Team;NNX10-015;Netgear;2022-09-14;2025-09-13;2023-05-01;Operational;no
Samsung 980 PRO 1TB SSD;High-speed solid state drive;Components;ssd,storage;IT Stock;200;Tech Team;S980P-016;Samsung;2023-03-03;2026-03-02;2023-03-03;New;yes
Epson WorkForce Pro WF-C5790;Business inkjet printer;Printers;printer,inkjet;Marketing Dept;400;Marketing Manager;EWFP-017;Epson;2022-07-22;2025-07-21;2023-04-30;Operational;no
Jabra Evolve 75 Headset;Wireless noise-cancelling headset;Peripherals;headset,wireless;Various;200;Various;JE75-018;Jabra;2023-05-09;2026-05-08;2023-05-09;Operational;yes
Veeam Backup & Replication;Backup software license;Software;backup,license;Server Room;1200;Admin Team;VBR-019;Veeam;2023-02-28;2024-02-27;2023-02-28;Operational;no
Fortinet FortiGate 100F;Next-gen firewall appliance;Security;firewall,network security;Server Room;2500;Security Team;FFG100F-020;Fortinet;2021-10-17;2024-10-16;2023-06-15;Operational;no
Yubico YubiKey 5 NFC;Hardware security key;Security;security key,2fa;IT Office;50;Security Team;YK5NFC-021;Yubico;2023-04-25;2026-04-24;2023-04-25;Operational;yes
ASUS ProArt PA32UCX-PK Monitor;Professional 4K HDR monitor;Peripherals;monitor,4k,hdr;Design Lab;5000;Lead Designer;APPA32-022;ASUS;2022-08-07;2025-08-06;2022-08-07;Operational;no
Corsair Vengeance LPX 32GB RAM;High-performance DDR4 RAM;Components;ram,memory;IT Stock;150;Tech Team;CVLPX32-023;Corsair;2023-06-11;2026-06-10;2023-06-11;New;yes
Fluke Networks DSX-8000 CableAnalyzer;Cable certification tester;Tools;network tester,cable analyzer;IT Office;12000;Network Team;FNDSX8K-024;Fluke Networks;2021-12-03;2024-12-02;2023-07-01;Operational;yes
VMware vSphere 7 Enterprise Plus;Virtualization software license;Software;vmware,virtualization,license;Server Room;5500;Admin Team;VMV7EP-025;VMware;2023-03-18;2024-03-17;2023-03-18;Operational;no
Aruba Instant On AP22;WiFi 6 access point;Networking;wifi,access point;Floor 3;200;Tech Team;AIAP22-026;Aruba;2022-09-05;2025-09-04;2023-05-20;Operational;no
Plantronics Voyager 5200 UC;Bluetooth headset;Peripherals;headset,bluetooth;Various;120;Various;PV5200-027;Plantronics;2023-01-30;2026-01-29;2023-01-30;Operational;yes
WD Red Pro 14TB NAS HDD;High-capacity NAS hard drive;Components;hdd,storage;IT Stock;450;Tech Team;WDRP14TB-028;Western Digital;2022-11-12;2025-11-11;2022-11-12;New;yes
Adobe Creative Cloud License;Software suite for creative work;Software;adobe,creative cloud,license;Design Lab;600;Creative Team;ADCC-029;Adobe;2023-05-01;2024-04-30;2023-05-01;Operational;no
Tripp Lite 42U Rack Enclosure;Server rack cabinet;Infrastructure;rack,server cabinet;Server Room;1500;Tech Team;TL42U-030;Tripp Lite;2021-07-14;2024-07-13;2021-07-14;Operational;no
Microsoft Surface Hub 2S;Interactive whiteboard for collaboration;A/V Equipment;surface hub,collaboration;Conference Room B;9000;IT Manager;MSH2S-031;Microsoft;2022-02-09;2025-02-08;2023-04-01;Operational;no
SonicWall TZ370 Firewall;Small business firewall;Security;firewall,network security;Branch Office;700;Security Team;SWTZ370-032;SonicWall;2022-10-20;2025-10-19;2023-06-10;Operational;no
Crucial MX500 2TB SSD;SATA SSD for workstations;Components;ssd,storage;IT Stock;180;Tech Team;CMX500-033;Crucial;2023-04-15;2026-04-14;2023-04-15;New;yes
Acronis Cyber Protect License;Backup and cybersecurity software;Software;acronis,backup,security,license;Server Room;800;Admin Team;ACP-034;Acronis;2022-08-28;2023-08-27;2022-08-28;Operational;no
"LG 86"" 4K UHD Display";Large format display for presentations;A/V Equipment;display,4k;Auditorium;3000;Facilities Team;LG86UHD-035;LG;2022-06-05;2025-06-04;2023-03-10;Operational;no
Raspberry Pi 4 Model B;Single-board computer for IoT projects;Computers;raspberry pi,iot,development;R&D Lab;75;Dev Team;RPI4B-036;Raspberry Pi;2022-12-19;2025-12-18;2022-12-19;Operational;yes
Anker PowerConf S3 Speakerphone;Bluetooth conference speaker;A/V Equipment;speakerphone,bluetooth;Various;130;Various;APS3-037;Anker;2023-03-07;2026-03-06;2023-03-07;Operational;yes
Neat Bar;All-in-one video conferencing device;A/V Equipment;video conference,collaboration;Huddle Room;2000;IT Manager;NB-038;Neat;2022-09-25;2025-09-24;2023-05-15;Operational;no
Seagate IronWolf 16TB NAS HDD;High-capacity NAS hard drive;Components;hdd,storage;IT Stock;480;Tech Team;SGIW16TB-039;Seagate;2023-01-08;2026-01-07;2023-01-08;New;yes
Zabbix Enterprise License;Network monitoring software;Software;zabbix,monitoring,license;Server Room;3000;Network Team;ZEL-040;Zabbix;2022-07-01;2023-06-30;2022-07-01;Operational;no
iStorage diskAshur PRO2 SSD 1TB;Encrypted portable SSD;Storage;ssd,encrypted;Security Office;400;Security Team;IDAP2-041;iStorage;2022-11-30;2025-11-29;2022-11-30;Operational;yes
Ergotron WorkFit-TX Standing Desk Converter;Sit-stand desk converter;Furniture;ergotron,standing desk,ergonomics;Various;400;Various;EWFTX-042;Ergotron;2023-05-17;2026-05-16;2023-05-17;Operational;no
Synology RS1221+ RackStation;Rackmount NAS for data backup;Storage;nas,backup;Server Room;1400;Admin Team;SRS1221-043;Synology;2022-02-14;2025-02-13;2023-06-30;Operational;no
Nvidia Quadro RTX 4000;Professional graphics card;Components;gpu,graphics;Design Lab;900;Lead Designer;NQRTX4K-044;Nvidia;2022-08-10;2025-08-09;2022-08-10;Operational;no
Crestron TS-1070 Touch Screen;Wall-mounted control panel;A/V Equipment;touchscreen,control panel;Conference Rooms;1000;Facilities Team;CTS1070-045;Crestron;2023-04-03;2026-04-02;2023-07-15;Operational;no
